"Colony","emmean","SE","df","asymp.LCL","asymp.UCL"
"Bjørnøya",25.2542929550075,0.266013135931925,Inf,24.7329167891663,25.7756691208486
"Combined",23.7555126288826,0.226795381040467,Inf,23.3110018501832,24.2000234075819
"Eynhallow",26.6946029150503,0.14487328177851,Inf,26.4106565004423,26.9785493296583
"Faroe.Islands",25.5803595160224,0.360964936389509,Inf,24.8728812410172,26.2878377910277
"Inishkea",26.9539400188178,0.807813273332865,Inf,25.370655096852,28.5372249407837
"Isle.of.Canna",26.3492255391503,0.61261943697428,Inf,25.1485135064515,27.5499375718491
"Jan.Mayen",25.3518337235341,0.224109375520575,Inf,24.912587418916,25.7910800281522
"Jarsteinen",26.963598673871,0.427864141045556,Inf,26.1250003671455,27.8021969805964
"Little.Saltee",28.5764424391055,0.315918809373554,Inf,27.9572529506945,29.1956319275164
