"name","n_kde_cells","n_na_cells","percent_na"
"Jan.Mayen_NOS.4181645_2017",691,70,10.1302460202605
"Jan.Mayen_NOS.4181646_2016",876,316,36.0730593607306
"Jan.Mayen_NOS.4181646_2017",683,122,17.8623718887262
"Jan.Mayen_NOS.4181646_2018",703,112,15.9317211948791
"Jan.Mayen_NOS.4181647_2016",577,65,11.265164644714
"Jan.Mayen_NOS.4181647_2017",734,192,26.158038147139
"Jan.Mayen_NOS.4181647_2018",602,31,5.14950166112957
"Jan.Mayen_NOS.4181650_2017",256,17,6.640625
"Jan.Mayen_NOS.4181650_2018",589,204,34.634974533107
"Jan.Mayen_NOS.4181650_2019",677,61,9.01033973412112
"Jan.Mayen_NOS.4181650_2020",461,92,19.9566160520607
"Jan.Mayen_NOS.4181651_2017",902,233,25.8314855875831
"Jan.Mayen_NOS.4181651_2018",921,204,22.1498371335505
"Jan.Mayen_NOS.4181654_2017",623,99,15.8908507223114
"Jan.Mayen_NOS.4181655_2017",732,138,18.8524590163934
"Jan.Mayen_NOS.4181655_2018",907,15,1.65380374862183
"Jan.Mayen_NOS.4181657_2017",918,31,3.37690631808279
"Jan.Mayen_NOS.4181657_2018",732,18,2.45901639344262
"Jan.Mayen_NOS.4181661_2017",1032,175,16.9573643410853
"Jan.Mayen_NOS.4181661_2018",856,122,14.2523364485981
"Jan.Mayen_NOS.4181662_2017",520,27,5.19230769230769
"Jan.Mayen_NOS.4181662_2018",869,32,3.68239355581128
"Jan.Mayen_NOS.4181663_2017",836,43,5.14354066985646
"Jan.Mayen_NOS.4181664_2017",591,88,14.8900169204738
"Jan.Mayen_NOS.4181664_2018",533,26,4.8780487804878
"Jan.Mayen_NOS.4181664_2019",523,18,3.44168260038241
"Jan.Mayen_NOS.4181664_2020",655,139,21.2213740458015
"Jan.Mayen_NOS.4181665_2018",982,12,1.22199592668024
"Jan.Mayen_NOS.4181666_2018",778,34,4.37017994858612
"Jan.Mayen_NOS.4181666_2019",744,20,2.68817204301075
"Jan.Mayen_NOS.4181666_2020",702,5,0.712250712250712
"Jan.Mayen_NOS.4181667_2018",668,2,0.29940119760479
"Jan.Mayen_NOS.4181668_2018",710,26,3.66197183098592
"Jan.Mayen_NOS.4181670_2018",655,146,22.2900763358779
"Jan.Mayen_NOS.4181674_2019",423,2,0.472813238770686
"Jan.Mayen_NOS.4181674_2020",502,20,3.98406374501992
"Jarsteinen_NOS.4104835_2017",386,4,1.03626943005181
"Jarsteinen_NOS.4104835_2019",389,4,1.02827763496144
"Jarsteinen_NOS.4104835_2020",342,4,1.16959064327485
"Jarsteinen_NOS.4207468_2011",606,9,1.48514851485149
"Jarsteinen_NOS.4207468_2012",675,13,1.92592592592593
"Jarsteinen_NOS.4221715_2015",727,6,0.825309491059147
"Jarsteinen_NOS.4221715_2016",1016,17,1.67322834645669
"Jarsteinen_NOS.4221715_2017",1242,95,7.64895330112721
"Jarsteinen_NOS.4221715_2018",841,9,1.07015457788347
"Jarsteinen_NOS.4241937_2018",436,6,1.37614678899083
"Jarsteinen_NOS.4241937_2019",656,5,0.76219512195122
"Jarsteinen_NOS.4262401_2011",247,7,2.83400809716599
"Jarsteinen_NOS.4262401_2012",725,11,1.51724137931034
"Jarsteinen_NOS.4262415_2011",149,5,3.35570469798658
"Jarsteinen_NOS.4262415_2012",481,5,1.03950103950104
"Jarsteinen_NOS.4262538_2011",446,4,0.896860986547085
"Jarsteinen_NOS.4262538_2012",470,10,2.12765957446809
"Jarsteinen_NOS.4262541_2011",740,157,21.2162162162162
"Jarsteinen_NOS.4262541_2012",863,405,46.9293163383546
"Jarsteinen_NOS.4262801_2018",111,4,3.6036036036036
"Jarsteinen_NOS.4262804_2016",454,8,1.76211453744493
"Jarsteinen_NOS.4262952_2018",552,13,2.35507246376812
"Jarsteinen_NOS.4264093_2015",907,120,13.2304299889746
"Jarsteinen_NOS.4264093_2016",1119,210,18.7667560321716
"Jarsteinen_NOS.4264093_2017",930,122,13.1182795698925
"Jarsteinen_NOS.4264093_2018",674,15,2.22551928783383
"Jarsteinen_NOS.4264390_2016",659,200,30.3490136570561
"Jarsteinen_NOS.4264390_2017",871,259,29.735935706085
"Jarsteinen_NOS.4264403_2017",240,4,1.66666666666667
"Jarsteinen_NOS.4264405_2017",227,5,2.20264317180617
"Jarsteinen_NOS.4264405_2018",148,6,4.05405405405405
"Little.Saltee_GBT.FA88604_2010",111,9,8.10810810810811
"Little.Saltee_GBT.FA88604_2011",130,9,6.92307692307692
"Little.Saltee_GBT.FB25124_2010",174,9,5.17241379310345
"Little.Saltee_GBT.FB25128_2010",147,9,6.12244897959184
"Little.Saltee_GBT.FB25130_2020",361,9,2.49307479224377
"Little.Saltee_GBT.FB25133_2010",169,9,5.32544378698225
"Little.Saltee_GBT.FB25141_2020",911,20,2.1953896816685
"Little.Saltee_GBT.FH15572_2019",137,8,5.83941605839416
"Little.Saltee_GBT.FH78306_2019",133,8,6.01503759398496
"Little.Saltee_GBT.FH78356_2020",432,9,2.08333333333333
"Little.Saltee_GBT.FH78367_2019",730,21,2.87671232876712
"Little.Saltee_GBT.FH78367_2020",452,9,1.99115044247788
"Little.Saltee_GBT.FJ59505_2020",230,9,3.91304347826087
"Little.Saltee_GBT.FJ59507_2020",385,9,2.33766233766234
"Little.Saltee_GBT.FP14812_2019",270,8,2.96296296296296
"Little.Saltee_GBT.FP14812_2020",188,9,4.78723404255319
"Little.Saltee_GBT.FP14834_2020",172,9,5.23255813953488
"Little.Saltee_GBT.FP14869_2010",456,9,1.97368421052632
"Little.Saltee_GBT.FP14991_2019",355,8,2.25352112676056
"Little.Saltee_GBT.FP14991_2020",491,9,1.83299389002037
"Little.Saltee_GBT.FP14999_2010",130,9,6.92307692307692
"Little.Saltee_GBT.FP40312_2010",237,11,4.64135021097046
"Little.Saltee_GBT.FP40344_2010",246,9,3.65853658536585
"Little.Saltee_GBT.FP40362_2020",372,12,3.2258064516129
"Little.Saltee_GBT.FP40378_2010",490,9,1.83673469387755
"Little.Saltee_GBT.FP40433_2010",185,13,7.02702702702703
"Little.Saltee_GBT.FP64331_2020",522,9,1.72413793103448
"Little.Saltee_GBT.FP64357_2010",120,9,7.5
"Little.Saltee_GBT.FP64357_2011",116,9,7.75862068965517
"Little.Saltee_GBT.FP64364_2010",140,9,6.42857142857143
"Little.Saltee_GBT.FP64364_2020",205,9,4.39024390243902
"Little.Saltee_GBT.FP64367_2010",126,9,7.14285714285714
"Little.Saltee_GBT.FR18053_2010",392,12,3.06122448979592
"Little.Saltee_GBT.FR18053_2011",115,9,7.82608695652174
"Little.Saltee_GBT.FR18074_2010",120,9,7.5
"Little.Saltee_GBT.FR18354_2010",133,9,6.76691729323308
"Little.Saltee_GBT.FV46558_2010",388,9,2.31958762886598
"Little.Saltee_GBT.FV46572_2010",235,9,3.82978723404255
"Little.Saltee_GBT.FV46799_2010",117,9,7.69230769230769
